402;Chalmers University of Technology;Sweden;9;361;311;218;367;426;428;871;45,16;2015;349;1265
563;Chang Gung University;Taiwan;7;367;567;218;344;598;812;824;44,60;2015;520;1266
942;Charles Darwin University;Australia;27;367;567;218;931;742;645;871;44,09;2015;896;1267
270;Charles University in Prague;Czech Republic;1;238;560;116;228;238;182;636;46,32;2015;227;1268
818;Chiang Mai University;Thailand;3;367;550;218;847;753;511;871;44,21;2015;754;1269
418;Chiba University;Japan;16;367;567;218;361;343;368;267;45,11;2015;362;1270
627;China Agricultural University;China;34;367;534;218;407;362;645;572;44,47;2015;590;1271
982;China Medical University (PRC);China;78;367;567;218;804;749;645;871;44,04;2015;958;1272
708;China Medical University (Taiwan);Taiwan;9;367;567;218;428;686;812;871;44,35;2015;671;1273
1000;China Pharmaceutical University;China;83;367;567;218;861;991;812;547;44,02;2015;981;1274
904;China University of Geosciences (Wuhan);China;63;367;558;218;928;639;428;752;44,13;2015;867;1275
220;Chinese University of Hong Kong;Hong Kong;2;100;479;116;162;356;212;168;47,05;2015;209;1276
422;Chonbuk National University;South Korea;13;367;567;218;507;774;812;83;45,09;2015;646;1277
774;Chongqing University;China;43;367;283;218;630;892;645;809;44,27;2015;837;1278
384;Chonnam National University;South Korea;10;367;547;218;405;589;511;109;45,27;2015;437;1279
878;Chosun University;South Korea;32;367;567;218;942;984;812;209;44,15;2015;991;1280
311;Chulalongkorn University;Thailand;1;367;57;218;584;734;511;871;45,86;2015;558;1281
967;Chung Shan Medical University;Taiwan;18;367;567;218;727;973;645;871;44,06;2015;946;1282
875;Chung Yuan Christian University;Taiwan;14;249;320;218;779;962;812;871;44,16;2015;921;1283
756;Chung-Ang University;South Korea;24;367;461;218;637;781;511;218;44,29;2015;886;1284
806;Chungbuk National University;South Korea;26;367;567;218;745;859;812;319;44,23;2015;809;1285
628;Chungnam National University;South Korea;23;367;567;218;470;563;645;290;44,47;2015;622;1286
289;City College of New York;USA;111;31;187;218;680;422;511;358;46,12;2015;590;1287
545;City University London;United Kingdom;41;367;122;218;785;861;812;601;44,64;2015;880;1288
373;City University of Hong Kong;Hong Kong;5;367;567;218;252;874;511;387;45,33;2015;339;1289
835;Clarkson University;USA;218;367;390;218;981;974;812;685;44,19;2015;809;1290
207;Claude Bernard University Lyon 1;France;10;367;567;218;132;121;234;151;47,31;2015;184;1291
