534;Aalborg University;Denmark;5;378;427;235;521;631;324;350;44,86;2016;494;2201
412;Aalto University;Finland;4;378;226;235;337;392;436;384;45,29;2016;403;2202
110;Aarhus University;Denmark;2;327;203;102;78;83;101;146;49,93;2016;91;2203
809;Aberystwyth University;United Kingdom;61;378;535;235;833;576;541;674;44,41;2016;750;2204
780;?bo Akademi University;Finland;9;378;594;235;786;690;541;745;44,44;2016;706;2205
922;Adam Mickiewicz University in Pozna?;Poland;7;151;594;235;670;852;818;745;44,30;2016;969;2206
819;AGH University of Science and Technology;Poland;4;278;299;235;704;868;664;558;44,40;2016;902;2207
960;Ain Shams University;Egypt;2;378;594;235;900;805;436;912;44,26;2016;934;2208
151;Aix-Marseille University;France;7;229;416;235;90;71;136;234;48,77;2016;121;2209
535;Ajou University;South Korea;16;378;453;235;634;687;664;126;44,86;2016;661;2210
666;Albany Medical College;USA;188;178;594;235;913;801;818;735;44,59;2016;606;2211
162;Albert Ludwig University of Freiburg;Germany;8;159;128;217;151;105;200;120;48,43;2016;130;2212
995;Alexandria University;Egypt;4;244;592;235;960;921;818;912;44,22;2016;980;2213
826;All India Institute of Medical Sciences, New Delhi;India;13;378;594;235;891;846;664;745;44,39;2016;759;2214
651;American University of Beirut;Lebanon;1;127;214;235;843;842;818;912;44,61;2016;832;2215
916;Amirkabir University of Technology;Iran;6;378;594;235;690;972;664;912;44,30;2016;887;2216
720;Ankara University;Turkey;5;378;357;235;766;688;541;912;44,52;2016;686;2217
439;Aristotle University of Thessaloniki;Greece;2;378;594;235;356;698;380;763;45,16;2016;375;2218
102;Arizona State University;USA;56;378;287;91;141;96;90;27;50,32;2016;155;2219
760;Aston University;United Kingdom;57;378;406;235;824;948;664;267;44,47;2016;807;2220
497;Auburn University;USA;159;185;213;235;492;582;380;250;44,95;2016;606;2221
462;Augusta University;USA;148;378;594;235;496;401;436;644;45,06;2016;381;2222
160;Australian National University;Australia;6;126;377;43;135;104;295;356;48,44;2016;198;2223
222;Autonomous University of Barcelona;Spain;2;378;594;235;137;218;240;295;47,14;2016;187;2224
296;Autonomous University of Madrid;Spain;5;378;443;235;231;253;240;391;46,16;2016;263;2225
980;Babe?-Bolyai University;Romania;2;378;594;235;879;870;664;912;44,24;2016;945;2226
674;Banaras Hindu University;India;9;252;280;235;762;923;664;912;44,58;2016;695;2227
594;Bangor University;United Kingdom;45;271;404;235;623;583;436;461;44,71;2016;547;2228
503;Bar-Ilan University;Israel;6;295;432;235;410;402;541;346;44,94;2016;470;2229
115;Baylor College of Medicine;USA;60;378;594;133;115;40;109;161;49,83;2016;42;2230
532;Baylor University;USA;163;378;290;235;650;588;324;584;44,86;2016;507;2231
705;Beihang University;China;44;378;354;235;432;855;818;471;44,53;2016;750;2232
675;Beijing Institute of Technology;China;42;378;594;235;499;959;664;592;44,57;2016;627;2233
392;Beijing Normal University;China;20;65;594;235;345;467;436;763;45,37;2016;430;2234
610;Beijing University of Chemical Technology;China;38;378;516;235;537;987;818;240;44,69;2016;617;2235
942;Beijing University of Posts and Telecommunications;China;73;378;301;235;969;978;818;429;44,28;2016;998;2236
971;Beijing University of Technology;China;80;378;594;235;770;963;818;625;44,25;2016;945;2237
358;Ben-Gurion University of the Negev;Israel;5;378;594;235;289;377;436;106;45,57;2016;407;2238
475;Bielefeld University;Germany;37;378;594;235;493;393;436;690;45,02;2016;389;2239
828;Bilkent University;Turkey;8;378;499;235;776;795;818;912;44,39;2016;776;2240
654;Binghamton University;USA;185;378;242;235;720;658;818;674;44,60;2016;706;2241
649;Birkbeck, University of London;United Kingdom;48;196;594;166;737;341;664;883;44,61;2016;627;2242
750;Blaise Pascal University;France;36;378;594;218;710;684;664;659;44,48;2016;686;2243
813;Bo?azi?i University;Turkey;7;378;450;235;818;748;436;883;44,40;2016;776;2244
338;Boston College;USA;120;378;99;235;577;367;218;363;45,70;2016;396;2245
62;Boston University;USA;39;319;57;89;70;46;35;92;53,49;2016;39;2246
805;Bowling Green State University;USA;208;378;373;235;933;699;818;745;44,41;2016;776;2247
229;Brandeis University;USA;92;37;319;55;572;204;324;271;47,03;2016;337;2248
613;Braunschweig University of Technology;Germany;46;242;594;235;566;374;664;303;44,68;2016;588;2249
435;Brigham Young University;USA;143;313;364;235;501;432;295;161;45,17;2016;452;2250
852;Brock University;Canada;27;378;594;235;887;726;541;690;44,36;2016;807;2251
87;Brown University;USA;51;75;39;77;122;73;64;203;51,74;2016;103;2252
460;Brunel University;United Kingdom;37;378;285;235;510;670;436;536;45,07;2016;407;2253
850;Budapest University of Technology and Economics;Hungary;5;265;594;235;749;786;664;644;44,36;2016;820;2254
975;Ca' Foscari University of Venice;Italy;48;378;594;235;966;791;664;912;44,25;2016;934;2255
771;Cairo University;Egypt;1;301;455;181;675;700;436;912;44,45;2016;759;2256
